time, windspeed, humidity, temperature, status 
00:14,3.1,76,8.09,clear
00:36,2.1,76,7.97,clear
01:05,1.5,81,7.79,clear
01:32,2.6,87,7.61,clear
02:05,1,87,7.27,clear
02:32,1,87,7.39,clear
03:05,3.1,81,7.53,clear
03:32,3.6,81,7.53,clear
04:05,3.6,81,8.06,clear
04:32,2.1,87,7.59,clear
05:05,1,87,10.06,clear
05:32,2.6,81,10.7,clear
06:06,3.6,76,11.27,clear
06:32,3.6,76,11.73,clear
07:05,3.1,66,12.85,clear
07:32,3.6,62,13.37,clouds
08:06,3.1,58,14.58,clouds
08:32,3.1,55,15.11,clouds
09:05,2.6,55,16.43,clouds
09:32,2.1,51,17.02,clouds
10:05,2.1,52,17.97,clouds
10:32,1.5,45,17.94,clouds
11:05,2.1,42,18.84,clouds
11:32,1.5,39,19.31,rain
