time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:10,1.03,71,6.7,1018,0,0,0,clear
00:47,1.54,78,5.7,1017,0,0,0,clear
01:29,4.02,78,5.54,1017,0,0,0,clear
01:57,2.24,79,4.91,1018,0,0,0,clear
02:19,3.13,73,5.72,1018,0,0,0,clear
02:39,3.6,74,5.28,1017,0,0,0,clear
03:03,3.6,74,5.34,1017,0,0,0,clear
03:32,2.68,75,5.01,1017,0,0,0,clear
04:03,2.68,76,4.9,1017,0,0,0,clear
04:32,2.24,71,5.9,1017,0,0,0,clear
05:03,2.24,69,7.11,1017,0,0,0,clear
05:32,2.24,67,8.11,1017,0,0,0,clear
06:03,1.03,66,9.17,1018,0,0,0,clear
06:33,4.63,62,10.24,1018,0,0,0,clear
07:02,5.36,58,11.57,1017,0,0,0,clear
07:32,6.26,57,11.98,1016,0,0,0,clear
08:03,4.63,59,13.58,1017,0,0,0,clear
08:32,4.63,60,14.18,1017,0,0,0,clear
09:03,3.6,60,15.02,1017,0,0,20,clouds
09:32,5.81,61,15.56,1016,0,0,20,clouds
10:03,5.81,62,15.96,1017,0,0,20,clouds
