time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,2.72,80,9.44,clouds
2020.05.26,0.89,76,12.22,rain
2020.05.27,2.64,48,16.67,clouds
2020.05.28,1.79,90,9.79,1009,{'1h': 0.46},0,100,rain
2020.05.29,3.4,64,15.0,1019,{'1h': 0.47},0,92,rain
2020.05.30,2.19,48,13.33,1014,{'1h': 0.19},0,99,rain
2020.05.31,3.19,90,9.44,1014,{'1h': 0.51},0,100,rain
2020.06.01,3.11,42,20.56,1015,{'1h': 0.19},0,78,rain
2020.06.02,7.15,48,19.44,1011,{'1h': 0.39},0,4,rain
2020.06.03,3.84,38,23.89,1000,{'1h': 0.18},0,87,rain
2020.06.04,0.89,58,20.56,992,{'1h': 0.2},0,100,rain
2020.06.05,1.67,67,16.11,995,{'1h': 0.11},0,100,rain
