time, windspeed, humidity, temperature, status 
07:33,0.45,82,11.11,rain
08:05,4.18,81,11.11,rain
08:32,2.24,78,11.67,rain
09:05,3.13,68,13.33,rain
09:32,1.79,66,13.33,rain
10:05,2.68,72,12.22,rain
10:32,2.24,72,12.78,rain
11:05,2.24,74,11.67,rain
11:32,5.29,84,11.11,rain
12:06,0.89,76,12.22,rain
12:32,5.09,75,13.33,rain
13:05,1.79,65,13.89,rain
13:32,4.89,63,13.89,rain
14:05,4.89,63,14.44,rain
14:32,4.99,66,13.89,rain
15:05,3.58,72,13.33,rain
15:32,4.78,78,12.22,rain
16:05,4.78,79,12.78,rain
16:32,3.24,75,13.33,rain
17:05,3.24,72,15.0,rain
17:32,2.39,69,15.0,rain
18:05,2.39,69,15.56,rain
18:32,1.74,72,14.44,clear
19:05,1.74,76,12.22,clear
19:32,0.95,80,11.11,clear
20:06,0.94,83,10.0,clear
20:32,1.3,84,8.89,clear
21:05,1.3,85,7.78,clear
21:32,1.16,87,7.78,clear
22:05,1.16,87,6.67,clear
