time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:11,3.51,74,0.95,998,0,0,100,clouds
00:48,3.13,78,-0.29,1001,0,0,100,clouds
01:31,3.13,75,0.68,1001,0,0,100,clouds
02:31,3.58,76,1.19,1000,0,0,100,clouds
03:14,2.24,76,1.18,1000,0,0,100,clouds
03:38,2.68,76,1.34,1000,0,0,100,clouds
04:03,3.58,73,1.84,999,0,0,100,clouds
04:36,4.47,73,1.83,999,0,0,100,clouds
05:03,4.47,72,1.84,999,0,0,100,clouds
05:33,2.68,74,1.57,999,0,0,100,clouds
06:03,5.06,70,2.28,999,0,0,100,clouds
06:35,1.79,75,1.82,999,0,0,100,clouds
07:03,1.79,74,2.05,999,0,0,100,clouds
07:32,0.89,65,3.16,999,0,0,100,clouds
08:03,4.02,60,3.95,999,0,0,100,clouds
08:35,5.36,59,4.05,999,0,0,100,clouds
09:03,6.71,58,4.48,999,0,0,100,clouds
09:33,6.71,57,4.74,999,0,0,100,clouds
10:03,6.71,57,5.47,999,0,0,100,clouds
10:35,7.15,55,6.24,998,0,0,100,clouds
11:02,7.15,55,6.51,998,0,0,100,clouds
11:32,7.6,54,6.65,998,0,0,100,clouds
12:04,7.6,53,7.14,997,0,0,100,clouds
12:43,6.71,50,7.27,997,0,0,100,clouds
