time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,3.6,81,10.33,clouds
2020.05.26,1.79,59,16.57,rain
2020.05.27,2.6,42,17.69,rain
2020.05.28,1.5,62,13.12,1027,0,0,75,clouds
2020.05.29,2.1,44,16.08,1025,0,0,41,clouds
2020.05.30,3.1,41,16.04,1020,{'1h': 0.23},0,27,rain
2020.05.31,4.1,77,15.22,1017,0,0,5,clear
2020.06.01,4.1,37,20.7,1020,0,0,2,clear
2020.06.02,4.1,48,17.68,1016,0,0,75,clouds
2020.06.03,3.6,56,20.73,1005,0,0,20,clouds
2020.06.04,2.6,46,22.29,996,0,0,75,clouds
2020.06.05,5.7,76,14.93,998,0,0,75,clouds
2020.06.06,5.7,63,18.56,1006,{'1h': 0.3},0,95,rain
2020.06.07,1.5,82,19.99,1007,0,0,75,clouds
2020.06.08,1,72,14.77,1014,0,0,90,clouds
2020.06.09,2.6,49,19.44,1013,0,0,75,clouds
2020.06.10,3.1,82,17.5,1011,0,0,90,rain
2020.06.11,1,64,21.28,1009,0,0,75,clouds
2020.06.12,3.1,54,26.26,1009,0,0,75,clouds
2020.06.13,2.6,51,27.51,1010,0,0,75,clouds
2020.06.14,3.1,100,19.17,1011,0,0,75,thunderstorm
2020.06.15,1.5,46,22.97,1013,0,0,48,clouds
2020.06.16,2.6,49,21.92,1013,0,0,92,clouds
2020.06.17,2.6,56,23.49,1011,0,0,75,clouds
2020.06.18,5.1,88,20.0,1009,0,0,90,rain
2020.06.19,6.7,93,15.22,1013,0,0,90,rain
2020.06.20,5.7,100,14.13,1016,0,0,90,rain
2020.06.21,4.6,93,16.2,1017,0,0,90,clouds
2020.06.22,6.7,43,22.68,1020,0,0,40,clouds
2020.06.23,4.1,40,22.57,1023,0,0,7,clear
2020.06.24,2.1,82,17.15,1023,0,0,40,rain
2020.06.25,5.1,46,23.48,1022,0,0,40,clouds
2020.06.26,3.1,73,21.3,1016,0,0,75,clouds
2020.06.27,3.6,54,28.26,1013,0,0,40,clouds
2020.06.28,2.6,48,27.63,1014,0,0,40,clouds
2020.06.29,2.1,93,18.21,1013,0,0,90,clouds
2020.06.30,5.1,43,23.27,1012,0,0,15,clouds
2020.07.01,2.6,44,27.37,1011,0,0,20,clouds
2020.07.02,2.1,54,26.07,1011,0,0,75,clouds
2020.07.03,5.1,68,21.32,1016,0,0,75,clouds
2020.07.04,3.1,43,23.83,1018,0,0,38,clouds
2020.07.05,6.7,45,27.64,1014,0,0,40,clouds
2020.07.06,5.1,88,18.35,1012,0,0,75,clouds
2020.07.07,2.6,55,18.04,1019,0,0,75,clouds
2020.07.08,2.1,59,16.16,1016,0,0,100,rain
2020.07.09,2.1,77,20.57,1017,0,0,75,clouds
2020.07.10,5.7,35,31.08,1010,{'1h': 0.26},0,16,rain
2020.07.11,3.6,93,14.14,1022,0,0,90,rain
2020.07.12,2.6,55,17.2,1026,0,0,75,clouds
2020.07.13,2.1,37,20.0,1024,0,0,7,clear
2020.07.14,2.1,43,22.34,1016,0,0,16,clouds
2020.07.15,3.1,36,23.69,1011,{'1h': 0.36},0,87,rain
2020.07.16,4.1,68,18.92,1015,0,0,75,clouds
2020.07.17,2.1,59,16.97,1018,0,0,75,rain
2020.07.18,3.6,68,21.59,1017,0,0,75,clouds
2020.07.19,4.1,57,24.35,1015,0,0,75,clouds
2020.07.20,4.1,54,24.95,1015,0,0,75,thunderstorm
2020.07.21,1,56,22.49,1020,0,0,75,clouds
2020.07.22,2.1,40,22.5,1021,0,0,1,clear
2020.07.23,2.1,44,22.43,1015,0,0,65,clouds
2020.07.24,1,44,26.29,1010,0,0,75,clouds
2020.07.25,2.1,41,26.86,1013,0,0,2,clear
2020.07.26,0.5,88,21.3,1014,0,0,90,rain
2020.07.27,0.5,50,26.17,1017,0,0,40,clouds
2020.07.28,6.7,31,33.05,1010,{'1h': 0.21},0,25,rain
2020.07.29,4.6,36,24.97,1018,0,0,40,clouds
2020.07.30,1.5,31,26.29,1020,0,0,11,clouds
2020.07.31,4.6,34,26.27,1018,0,0,42,clouds
2020.08.01,2.1,28,27.37,1016,0,0,0,clear
2020.08.02,0.89,72,23.67,1012,0,0,81,clouds
2020.08.03,1.34,99,17.05,1008,{'1h': 3.43},0,100,rain
2020.08.04,0.45,91,15.9,1011,0,0,100,clouds
2020.08.05,1.5,49,21.77,1019,0,0,46,clouds
2020.08.06,0.89,59,26.15,1019,0,0,8,clear
2020.08.07,0.45,49,30.39,1020,0,0,2,clear
2020.08.08,1.5,37,30.2,1021,0,0,30,clouds
2020.08.09,1.5,43,30.34,1018,0,0,40,clouds
2020.08.10,0.89,52,28.68,1014,0,0,97,clouds
2020.08.11,2.6,45,29.43,1018,0,0,40,clouds
2020.08.12,0.89,43,29.86,1017,0,0,0,clear
2020.08.13,1.34,37,30.77,1012,0,0,1,clear
2020.08.14,2.68,64,28.11,1010,{'1h': 0.3},0,71,rain
2020.08.15,0.5,78,23.32,1014,0,0,75,clouds
2020.08.16,1.34,45,27.65,1012,0,0,1,clear
2020.08.17,1,61,27.52,1011,0,0,40,clouds
2020.08.18,0.89,89,20.73,1009,{'1h': 0.21},0,100,rain
2020.08.19,2.6,60,23.63,1011,0,0,40,clouds
2020.08.20,1.79,49,27.81,1012,0,0,40,clouds
2020.08.21,1.79,43,30.4,1012,0,0,0,clear
2020.08.22,1.79,65,28.52,1013,0,0,41,clouds
2020.08.23,1.79,60,24.07,1015,0,0,98,clouds
2020.08.24,1.79,48,23.56,1014,0,0,39,clouds
2020.08.25,2.6,46,22.01,1015,0,0,7,clear
2020.08.26,12.3,32,26.77,1007,0,0,28,clouds
2020.08.27,5.7,49,20.57,1016,0,0,99,clouds
2020.08.28,5.7,36,26.86,1007,0,0,24,clouds
2020.08.29,0.89,85,19.06,1007,0,0,98,clouds
2020.08.30,0.89,94,18.73,1004,0,0,95,clouds
2020.08.31,1.79,92,16.61,1016,0,0,99,clouds
2020.09.01,1.79,97,13.32,1012,{'1h': 2.37},0,100,rain
2020.09.02,2.24,57,19.14,1016,0,0,87,clouds
2020.09.03,2.6,45,20.57,1022,0,0,40,clouds
