time, windspeed, humidity, temperature, status 
00:14,0.5,87,7.63,clear
00:36,0.45,90,7.02,clear
01:05,1.74,89,6.68,clear
01:32,0.45,90,6.28,clear
02:05,1.27,91,6.11,clear
02:32,0.98,91,5.38,clear
03:05,0.98,90,5.18,clear
03:32,0.5,100,5.18,fog
04:05,0.77,91,5.18,clear
04:32,0.5,93,6.21,clear
05:05,1.38,94,7.93,clear
05:32,0.98,87,9.16,clear
06:06,0.89,82,11.17,clear
06:32,2.1,81,11.94,clear
07:05,0.89,79,12.8,clear
07:32,2.1,71,13.42,clouds
08:06,1.34,70,15.83,clear
08:32,1,62,16.14,clouds
09:05,1,55,15.71,clouds
09:32,2.1,55,17.04,clouds
10:05,1.79,62,17.06,rain
10:32,3.6,55,17.66,clouds
11:05,3.1,48,18.04,clouds
11:32,3.1,45,18.47,rain
