time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:10,0.39,78,3.71,1020,0,0,50,clouds
00:47,0.13,79,3.64,1021,0,0,67,clouds
01:30,0.36,87,2.43,1021,0,0,70,clouds
02:16,0.36,81,2.85,1021,0,0,70,clouds
02:39,0.23,91,2.23,1021,0,0,65,clouds
03:02,0.23,89,2.08,1021,0,0,65,clouds
03:32,0.23,88,1.96,1021,0,0,65,clouds
04:03,0.07,82,2.28,1021,0,0,68,clouds
04:32,0.08,91,1.32,1022,0,0,70,clouds
05:02,0.08,89,2.03,1022,0,0,70,clouds
05:32,0.44,84,3.59,1022,0,0,70,clouds
06:03,0.44,76,4.74,1022,0,0,70,clouds
06:33,1.02,76,5.66,1022,0,0,63,clouds
07:03,0.97,73,6.52,1021,0,0,79,clouds
07:32,1.78,70,7.24,1021,0,0,82,clouds
08:03,1.78,67,8.04,1021,0,0,82,clouds
08:32,2.41,60,8.45,1021,0,0,88,clouds
09:32,2.81,55,9.02,1021,0,0,91,clouds
