time, windspeed, humidity, temperature, status 
07:33,1.34,79,10.75,rain
08:05,0.89,78,10.75,rain
08:32,1.34,75,10.94,rain
09:05,0.45,78,10.38,rain
09:32,0.45,80,10.94,rain
10:05,0.45,77,11.49,rain
10:32,0.45,79,11.67,rain
11:05,5.22,79,11.87,rain
11:32,0.45,76,12.23,rain
12:06,0.89,68,12.96,rain
12:32,0.45,86,11.66,rain
13:05,0.45,77,10.75,rain
13:32,2.24,81,12.77,rain
14:05,0.45,77,12.78,rain
14:32,6.38,87,12.22,rain
15:05,6.38,77,12.26,rain
15:32,0.45,70,12.85,clear
16:05,5.92,68,13.67,clear
16:32,0.45,69,14.64,clear
17:05,4.9,74,14.05,clear
17:32,3.91,74,13.7,clear
18:05,3.91,74,12.98,clear
18:32,3.21,80,11.48,clear
19:05,3.21,82,10.92,clear
