time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:16,1.34,91,14.03,1012,0,0,48,clouds
00:47,1.64,91,12.46,1012,0,0,9,clear
01:31,1.62,93,11.9,1012,0,0,6,clear
02:38,1.22,93,11.35,1012,0,0,8,clear
03:30,0.7,93,10.31,1012,0,0,10,clear
04:14,0.7,94,10.32,1012,0,0,10,clear
04:42,0.81,92,10.41,1012,0,0,28,clouds
05:06,0.81,93,11.48,1012,0,0,28,clouds
05:39,0.96,88,12.59,1012,0,0,28,clouds
06:04,0.96,89,16.26,1012,0,0,28,clouds
06:41,1.42,83,14.9,1012,0,0,18,clouds
07:03,1.42,81,17.92,1012,0,0,18,clouds
07:34,2.07,74,18.05,1012,0.27,0,24,rain
08:04,2.07,75,18.18,1012,0,0,24,clouds
08:38,1.95,67,20.24,1012,0,0,38,clouds
09:04,1.95,68,21.31,1012,0,0,38,clouds
09:36,1.57,61,21.35,1011,0,0,54,clouds
10:03,1.57,61,21.86,1011,0,0,54,clouds
10:37,1.83,57,21.39,1011,0,0,63,clouds
11:03,1.83,57,22.42,1011,0,0,63,clouds
11:33,1.79,57,22.46,1011,0,0,69,clouds
12:05,1.79,55,22.5,1011,0,0,69,clouds
12:44,1.87,61,22.5,1011,0,0,100,clouds
13:12,1.87,58,22.46,1011,0,0,100,clouds
13:39,1.23,64,22.53,1011,0,0,100,clouds
14:03,1.23,61,22.53,1011,0.11,0,100,rain
14:36,2.63,70,21.42,1011,0.55,0,100,rain
15:03,2.63,68,21.22,1011,0.25,0,100,rain
15:35,3.17,80,15.46,1010,0,0,100,clouds
16:03,3.17,81,16.81,1011,0,0,100,clouds
16:39,2.94,91,15.24,1012,15.85,0,100,rain
17:03,2.94,89,15.2,1012,15.38,0,100,rain
17:36,3.8,93,14.68,1012,8.04,0,100,rain
18:04,3.8,92,14.68,1012,0,0,100,clouds
18:41,4.23,95,14.68,1012,2,0,99,rain
19:03,3.89,95,14.68,1012,0.64,0,100,rain
19:32,4.81,95,14.16,1012,5.16,0,100,rain
20:03,4.81,94,14.16,1013,8.91,0,100,rain
20:36,5.45,96,13.65,1013,5.33,0,100,rain
21:03,5.45,95,13.61,1012,1.91,0,100,rain
