time, windspeed, humidity, temperature, status 
00:14,1,100,5.41,clear
00:36,1.5,100,5.4,clouds
01:05,1.5,100,5.25,clouds
01:32,1,93,4.76,clouds
02:05,1,93,4.55,clouds
02:32,1,93,4.46,clouds
03:05,1,93,4.17,clouds
03:32,1,100,4.29,fog
04:05,1,100,3.96,fog
04:32,0.63,100,4.67,clouds
05:05,0.68,100,7.46,clouds
05:32,0.5,93,10.56,clouds
06:06,0.5,93,10.37,clouds
06:32,1,81,11.46,clouds
07:05,0.82,76,12.44,clouds
07:32,1,71,14.67,clouds
08:06,2.1,66,15.05,clouds
08:32,2.6,62,14.76,clouds
09:05,2.6,51,15.71,clouds
