time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:14,1.84,70,-5.92,1023,0,0,100,clouds
00:47,1.84,70,-5.99,1023,0,0,100,clouds
01:30,2.17,72,-6.31,1022,0,0,100,clouds
02:27,1.03,92,-8.57,1022,0,0,0,clear
02:49,2.18,71,-5.92,1022,0,0,100,clouds
03:09,2.18,71,-5.92,1022,0,0,100,clouds
03:36,1.97,71,-5.53,1022,0,0,100,clouds
04:03,1.97,71,-5.99,1022,0,0,100,clouds
04:34,1.98,83,-6.55,1022,0,0,100,clouds
05:03,1.98,82,-6.34,1022,0,0,100,clouds
05:33,1.94,71,-5.99,1022,0,0,94,clouds
06:03,1.94,71,-5.99,1022,0,0,94,clouds
06:35,1.92,71,-5.53,1023,0,0,24,clouds
