time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,3.82,88,7.82,clouds
2020.05.26,5.12,48,14.16,clouds
2020.05.27,1.34,43,19.25,clouds
2020.05.28,4.84,55,11.71,1027,{'1h': 0.27},0,87,rain
2020.05.29,0.89,47,15.86,1024,0,0,32,clouds
2020.05.30,4.2,39,14.16,1020,0,0,37,clouds
2020.05.31,2.51,58,15.76,1017,0,0,0,clear
2020.06.01,1.79,55,19.8,1020,0,0,21,clouds
2020.06.02,0.89,73,16.58,1016,0,0,82,clouds
2020.06.03,1.34,45,20.92,1005,0,0,7,clear
2020.06.04,4.25,43,21.33,995,{'1h': 1.11},0,100,rain
2020.06.05,2.54,63,14.39,997,0,0,100,clouds
2020.06.06,0.89,88,12.77,1004,0,0,100,clouds
2020.06.07,1.85,78,17.58,1006,{'1h': 0.52},0,98,rain
2020.06.08,2.18,60,16.96,1014,0,0,99,clouds
2020.06.09,0.89,60,17.75,1013,0,0,96,clouds
2020.06.10,2.81,47,17.08,1011,0,0,100,clouds
2020.06.11,2.96,80,20.37,1009,0,0,75,clouds
2020.06.12,4.02,69,24.07,1009,{'1h': 0.21},0,35,rain
2020.06.13,0.45,52,27.51,1010,{'1h': 0.17},0,10,rain
2020.06.14,3.58,88,19.56,1010,{'1h': 2.15},0,86,rain
2020.06.15,0.89,52,22.17,1013,0,0,81,clouds
2020.06.16,1.89,59,21.95,1013,{'1h': 0.16},0,75,rain
2020.06.17,2.37,46,23.0,1010,0,0,93,clouds
2020.06.18,0.45,83,19.52,1007,{'1h': 0.23},0,100,rain
2020.06.19,2.78,96,14.24,1014,{'1h': 0.11},0,100,rain
2020.06.20,4.99,82,13.76,1017,{'1h': 0.36},0,100,rain
2020.06.21,4.55,92,13.84,1018,0,0,100,clouds
2020.06.22,5.49,41,23.19,1020,0,0,4,clear
2020.06.23,5.02,39,20.0,1023,0,0,2,clear
2020.06.24,4.48,78,13.87,1024,{'1h': 0.2},0,44,rain
2020.06.25,0.89,68,22.22,1021,0,0,5,clear
2020.06.26,0.89,62,21.29,1014,{'1h': 0.35},0,72,rain
2020.06.27,1.34,69,25.87,1013,{'1h': 0.32},0,3,rain
2020.06.28,4.2,53,26.08,1013,{'1h': 0.94},0,52,rain
2020.06.29,1.79,78,18.5,1011,{'1h': 0.7},0,100,rain
2020.06.30,5.25,53,20.34,1011,0,0,59,clouds
2020.07.01,4.02,55,24.63,1008,0,0,6,clear
2020.07.02,2.87,79,21.3,1010,{'1h': 0.67},0,45,rain
2020.07.03,3.54,78,18.78,1016,{'1h': 0.17},0,59,rain
2020.07.04,0.45,56,23.3,1017,0,0,28,clouds
2020.07.05,5.93,71,23.28,1013,{'1h': 0.32},0,78,rain
2020.07.06,0.89,73,18.58,1010,0,0,99,clouds
2020.07.07,0.89,63,16.62,1018,0,0,67,clouds
2020.07.08,1.17,90,12.41,1015,{'1h': 1.68},0,100,rain
2020.07.09,3.96,95,15.67,1016,0,0,100,clouds
2020.07.10,5.24,54,26.6,1008,{'1h': 0.61},0,89,rain
2020.07.11,2.77,62,15.14,1022,0,0,100,clouds
2020.07.12,3.79,42,17.94,1026,{'1h': 0.13},0,12,rain
2020.07.13,1.85,39,19.43,1022,0,0,19,clouds
2020.07.14,0.45,51,21.41,1015,0,0,1,clear
2020.07.15,2.7,61,20.17,1011,{'1h': 0.82},0,88,rain
2020.07.16,0.45,70,18.12,1013,{'1h': 0.82},0,44,rain
2020.07.17,3.75,52,18.12,1018,{'1h': 0.18},0,38,rain
2020.07.18,3.57,47,22.62,1017,0,0,20,clouds
2020.07.19,1.75,76,23.77,1015,{'1h': 0.95},0,34,rain
2020.07.20,3.18,45,24.62,1013,0,0,84,clouds
2020.07.21,1.34,54,21.29,1019,0,0,49,clouds
2020.07.22,0.89,59,20.53,1020,0,0,1,clear
2020.07.23,0.45,52,21.82,1015,0,0,84,clouds
2020.07.24,1.44,45,23.89,1010,{'1h': 0.31},0,6,rain
2020.07.25,1.61,51,22.64,1012,{'1h': 0.21},0,3,rain
