time, windspeed, humidity, temperature, status 
00:14,0.77,88,5.77,clear
00:36,0.79,90,5.79,clear
01:05,0.79,89,5.79,clear
01:32,1.04,89,5.4,clear
02:05,1.04,89,5.45,clear
02:32,1.04,94,4.8,clear
03:05,1.09,94,4.63,clear
03:32,1.09,94,4.62,clear
04:05,1.14,94,4.97,clear
04:32,1.14,95,6.61,clear
05:05,1.14,95,8.29,clouds
05:32,1.9,96,9.03,clouds
06:06,1.9,91,12.37,clouds
06:32,2.78,52,13.52,clear
07:05,1.34,68,12.96,clear
07:32,3.27,51,14.38,clear
08:06,3.27,49,15.31,clear
08:32,3.27,41,16.21,clear
09:05,1.34,56,15.76,clouds
