time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:12,0.96,94,4.16,1033,0,0,3,clear
00:47,0.97,94,4.09,1033,0,0,0,clear
01:29,0.89,94,4.09,1033,0,0,0,clear
02:03,0.89,94,4.12,1033,0,0,0,clear
02:45,0.89,94,4.12,1033,0,0,0,clear
03:05,0.89,94,4.09,1033,0,0,0,clear
03:35,0.89,98,3.04,1032,0,0,0,clear
04:03,0.89,98,3.01,1032,0,0,0,clear
04:34,0.89,98,2.96,1032,0,0,0,clear
05:03,0.89,97,3.05,1032,0,0,0,clear
05:34,0.89,93,2.92,1032,0,0,0,clear
06:03,0.89,94,2.57,1032,0,0,0,clear
06:36,2.24,97,2.3,1033,0,0,1,clear
07:02,2.24,97,2.3,1033,0,0,1,clear
07:32,0.89,97,1.44,1032,0,0,38,clouds
08:04,0.89,97,1.55,1032,0,0,38,clouds
08:35,1.71,92,4.34,1032,0,0,59,clouds
09:03,1.71,91,5.08,1032,0,0,59,clouds
09:32,2.52,85,5.8,1032,0,0,69,clouds
10:03,2.52,83,6.53,1032,0,0,69,clouds
10:35,3.02,80,7.47,1031,0,0,75,clouds
11:02,3.02,85,7.48,1031,0,0,75,clouds
11:32,2.24,74,8.89,1031,0,0,75,clouds
12:04,2.24,71,9.16,1030,0,0,72,clouds
12:43,3.13,64,10.11,1030,0,0,28,clouds
13:06,3.13,64,10.18,1030,0,0,28,clouds
13:33,3.13,61,11.02,1030,0,0,20,clouds
14:02,3.13,61,11.02,1030,0,0,20,clouds
14:34,3.13,63,9.96,1030,0,0,18,clouds
15:02,2.33,75,8.51,1030,0,0,18,clouds
15:33,2.27,78,7.69,1031,0,0,15,clouds
