time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,2.59,80,8.85,clear
2020.05.26,0.45,77,13.51,rain
2020.05.27,2.39,50,16.67,clouds
2020.05.28,2.24,79,13.14,1023,{'1h': 0.39},0,100,rain
2020.05.29,0.89,69,11.54,1023,{'1h': 0.28},0,85,rain
2020.05.30,6.3,64,14.47,1021,{'1h': 0.31},0,48,rain
2020.05.31,0.89,81,12.59,1017,0,0,100,clouds
2020.06.01,5.88,48,17.97,1019,0,0,23,clouds
2020.06.02,5.12,64,15.91,1017,0,0,63,clouds
2020.06.03,1.86,49,18.4,1004,0,0,35,clouds
2020.06.04,1.79,55,20.0,1000,0,0,72,clouds
2020.06.05,1.79,79,15.17,997,{'1h': 0.13},0,100,rain
2020.06.06,0.89,68,21.0,1007,{'1h': 0.35},0,34,rain
2020.06.07,2.05,86,21.42,1004,{'1h': 0.89},0,97,rain
2020.06.08,2.88,91,13.74,1012,0,0,98,clouds
2020.06.09,5.93,70,18.3,1012,0,0,12,clouds
