time, windspeed, humidity, temperature, status 
07:33,0.45,96,9.8,rain
08:05,0.45,97,10.16,rain
08:32,4.35,96,9.62,rain
09:05,4.35,97,10.46,rain
09:32,2.68,97,10.59,rain
10:05,2.24,95,10.93,rain
10:32,1.79,93,11.52,rain
11:05,0.89,84,12.61,rain
11:32,0.89,81,13.15,rain
12:06,0.45,77,13.51,rain
12:32,5.2,75,13.5,rain
13:05,0.45,71,13.87,rain
13:32,1.34,66,14.52,rain
14:05,0.89,66,14.23,rain
14:32,1.79,65,14.09,clouds
15:05,0.45,73,13.29,clouds
15:32,1.34,72,13.43,clouds
16:05,0.45,72,13.12,clouds
16:32,0.45,71,13.15,clouds
17:05,0.45,69,13.19,clouds
17:32,3.46,70,13.07,clouds
18:05,0.45,66,11.92,clouds
18:32,3.12,70,10.74,clear
19:05,3.12,76,9.96,clear
19:32,3.02,76,9.22,clear
20:06,2.61,79,8.66,clear
20:32,2.87,81,8.46,clear
