time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
01:18,0.62,99,2.0,1001,0,0,100,clouds
02:24,0.94,99,2.0,1000,0,0,100,clouds
02:59,1.22,99,2.22,1000,0.1,0,100,clouds
03:36,1.3,99,2.44,1000,0,0,100,clouds
04:22,1.82,99,2.61,1000,0,0,100,clouds
05:37,2.2,99,2.56,1001,0,0,100,clouds
06:15,2.16,99,2.56,1001,0,0,100,clouds
06:54,2.1,99,2.78,1001,0,0,100,clouds
07:21,2.1,99,2.61,1001,0,0,100,clouds
07:53,1.79,99,2.61,1001,0,0,100,clouds
08:16,1.79,99,2.83,1001,0,0,100,clouds
08:54,1.64,99,3.05,1002,0,0,100,clouds
09:20,1.64,99,3.4,1002,0.1,0,100,clouds
09:55,1.22,99,3.61,1002,0,0,100,clouds
10:19,1.22,99,3.61,1002,0,0,100,clouds
10:51,0.72,99,3.62,1002,0,0,100,clouds
11:16,0.72,99,4.18,1001,0,0,100,clouds
11:45,1.28,99,4.42,1002,0,0,100,clouds
12:16,0.97,99,4.4,1001,0,0,100,clouds
13:01,1.48,99,4.42,1002,0,0,100,clouds
13:51,1.2,99,4.41,1002,0.14,0,100,rain
14:13,1.2,99,4.18,1003,0.27,0,100,rain
14:45,1.11,99,3.53,1003,0,0,100,clouds
