time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,3.1,87,10.21,clouds
2020.05.26,6.2,82,14.15,rain
2020.05.27,2.6,55,18.39,clouds
2020.05.28,5.7,72,15.73,1024,0,0,40,clouds
2020.05.29,5.7,81,11.09,1025,0,0,90,clouds
2020.05.30,5.1,59,15.33,1018,0,0,75,clouds
2020.05.31,2.1,100,11.29,1016,0,0,90,rain
2020.06.01,7.2,52,19.28,1018,0,0,20,clouds
2020.06.02,3.6,55,17.2,1014,0,0,75,clouds
2020.06.03,3.1,48,18.64,1006,0,0,40,clouds
2020.06.04,3.1,49,21.97,998,0,0,20,clouds
2020.06.05,5.1,87,16.26,998,0,0,75,clouds
2020.06.06,7.2,53,23.25,1007,0,0,1,clear
2020.06.07,1,61,23.89,1006,0,0,40,clouds
2020.06.08,2.1,93,12.71,1013,0,0,90,clouds
2020.06.09,4.1,87,14.83,1014,0,0,90,clouds
2020.06.10,4.6,82,17.85,1010,0,0,90,clouds
2020.06.11,2.1,64,23.44,1010,0,0,20,clouds
2020.06.12,3.1,78,23.81,1010,0,0,40,clouds
2020.06.13,6.2,54,29.85,1010,0,0,20,clouds
2020.06.14,6.2,77,21.49,1010,0,0,75,clouds
2020.06.15,5.1,49,21.97,1013,0,0,35,clouds
2020.06.16,4.1,72,18.35,1014,0,0,40,clouds
2020.06.17,4.6,77,20.0,1010,0,0,40,clouds
2020.06.18,1,73,21.04,1008,0,0,40,clouds
2020.06.19,3.6,100,17.36,1011,0,0,90,rain
2020.06.20,1.5,93,17.33,1012,0,0,90,rain
2020.06.21,3.6,93,16.62,1014,0,0,90,clouds
2020.06.22,5.7,88,16.97,1018,0,0,90,clouds
2020.06.23,6.2,49,21.42,1021,0,0,40,clouds
2020.06.24,5.1,77,17.53,1022,0,0,75,rain
2020.06.25,1.5,57,24.83,1022,0,0,20,clouds
2020.06.26,6.2,54,26.06,1016,0,0,20,clouds
2020.06.27,8.2,65,26.61,1014,0,0,20,clouds
2020.06.28,4.1,58,26.57,1014,0,0,40,clouds
2020.06.29,1.5,100,17.0,1013,0,0,20,rain
2020.06.30,7.7,53,23.71,1012,0,0,40,clouds
2020.07.01,7.2,51,27.11,1012,0,0,20,clouds
2020.07.02,4.1,65,26.29,1011,0,0,20,clouds
2020.07.03,1,88,20.19,1015,0,0,90,rain
2020.07.04,2.1,46,23.38,1018,0,0,12,clouds
2020.07.05,6.2,54,26.63,1015,0,0,0,clear
2020.07.06,6.2,57,27.51,1009,0,0,40,clouds
2020.07.07,4.6,55,18.08,1019,0,0,40,clouds
2020.07.08,5.1,52,20.89,1016,0,0,20,clouds
2020.07.09,4.6,64,21.63,1018,0,0,40,clouds
2020.07.10,7.7,48,29.3,1013,0,0,1,clear
2020.07.11,3.6,93,12.33,1022,0,0,90,rain
2020.07.12,4.6,59,18.96,1025,0,0,40,clouds
2020.07.13,2.6,55,19.54,1024,0,0,20,clouds
2020.07.14,1,49,20.71,1018,0,0,53,clouds
2020.07.15,5.1,43,23.6,1013,0,0,75,clouds
2020.07.16,2.6,82,17.37,1015,0,0,75,clouds
2020.07.17,4.6,77,17.56,1017,0,0,75,rain
2020.07.18,3.1,82,20.59,1017,0,0,75,clouds
2020.07.19,4.1,78,22.51,1016,0,0,20,clouds
2020.07.20,2.6,69,24.11,1015,0,0,20,clouds
2020.07.21,2.6,77,20.57,1021,0,0,40,clouds
2020.07.22,4.1,46,22.26,1021,0,0,1,clear
2020.07.23,3.1,68,20.39,1016,0,0,97,clouds
2020.07.24,1.5,53,26.11,1012,0,0,20,clouds
2020.07.25,4.6,53,25.56,1014,0,0,47,clouds
2020.07.26,3.1,51,27.71,1013,0,0,20,clouds
2020.07.27,2.1,53,25.56,1018,0,0,20,clouds
2020.07.28,6.7,51,29.83,1012,0,0,9,clear
2020.07.29,1,57,26.07,1017,0,0,40,clouds
2020.07.30,2.6,50,25.75,1020,0,0,71,clouds
2020.07.31,2.6,47,24.29,1017,0,0,76,clouds
2020.08.01,4.1,53,23.75,1017,0,0,4,clear
2020.08.02,3.1,50,26.26,1014,0,0,56,clouds
