time, windspeed, humidity, temperature, status 
00:14,1.5,87,9.49,clouds
00:36,2.1,81,8.9,clouds
01:05,2.1,81,9.09,clouds
01:32,2.1,81,9.09,clouds
02:05,1.5,87,9.13,clouds
02:32,2.42,87,7.81,clouds
03:05,2.42,87,8.02,clouds
03:32,2.74,87,8.52,clouds
04:05,2.26,87,8.88,clouds
04:32,0.5,81,10.04,clouds
05:05,1,87,10.73,clouds
05:32,1,87,10.57,clouds
06:06,1.5,81,11.42,clouds
06:32,1.5,81,11.81,clouds
07:05,1.5,81,11.56,clouds
07:32,3.1,71,13.58,clouds
08:06,2.6,71,14.84,clouds
08:32,3.6,71,15.61,clouds
09:05,3.1,67,16.07,clouds
09:32,4.1,63,17.0,clouds
10:05,5.1,67,16.69,clouds
10:32,4.1,63,17.34,clouds
11:05,4.6,59,17.7,clouds
11:32,4.1,63,18.82,clouds
12:07,2.6,55,18.4,clouds
12:32,2.6,52,18.96,clouds
13:05,3.6,52,18.4,clear
13:32,5.1,55,18.78,clear
14:05,3.6,48,18.72,clear
14:32,5.1,52,18.96,clear
15:05,5.1,52,18.78,clear
15:32,5.7,48,19.1,clouds
16:05,4.1,48,19.11,clouds
16:32,4.6,45,19.11,1028,0,0,28,clouds
17:05,4.6,52,18.22,1028,0,0,28,clouds
17:32,3.6,52,18.41,1028,0,0,26,clouds
18:05,4.1,51,17.33,1028,0,0,26,clouds
18:32,2.6,51,16.78,1028,0,0,0,clear
19:05,2.1,58,14.43,1028,0,0,0,clear
19:32,2.1,62,13.93,1028,0,0,0,clear
20:06,1.5,58,12.99,1028,0,0,7,clear
20:32,1,66,12.66,1028,0,0,5,clear
21:05,1,66,12.12,1028,0,0,5,clear
21:32,1.5,81,10.56,1028,0,0,3,clear
22:05,2.6,76,10.53,1028,0,0,3,clear
22:32,1,81,10.37,1027,0,0,3,clear
23:05,0.5,76,9.77,1027,0,0,3,clear
