time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:38,8.23,78,6.62,994,0,0,90,clouds
01:55,9.26,75,6.76,995,0,0,0,clear
02:27,9.77,73,6.7,995,0,0,0,clear
02:50,10.8,75,6.98,995,0,0,20,clouds
03:11,10.8,75,7.1,995,0,0,20,clouds
03:38,9.77,73,6.94,995,0,0,0,clear
04:14,10.29,70,7.06,995,0,0,0,clear
04:48,9.77,70,6.42,995,0,0,0,clear
05:10,9.77,73,6.46,995,0,0,0,clear
05:35,9.26,75,6.09,995,0,0,20,clouds
06:13,6.17,75,6.24,996,0,0,40,clouds
06:44,10.29,81,5.72,996,0,0,40,clouds
07:11,10.29,78,6.09,996,0,0,40,clouds
07:35,5.66,79,6.15,996,0,0,75,clouds
08:13,8.23,78,6.49,996,0,0,20,clouds
08:41,8.75,79,6.45,997,0,0,20,clouds
09:11,6.69,81,6.7,997,0,0,20,clouds
09:38,6.69,78,6.44,998,0,0,20,clouds
10:12,6.69,75,7.18,998,0,0,20,clouds
10:40,7.2,75,6.77,998,0,0,20,clouds
11:09,6.17,75,7.04,998,0,0,20,clouds
11:34,6.17,75,6.85,998,0,0,20,clouds
12:17,6.17,75,6.71,998,0,0,20,clouds
12:55,4.63,75,6.67,998,0,0,20,clouds
