time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,3.6,81,10.9,clouds
2020.05.26,4.1,62,15.95,clouds
2020.05.27,2.6,42,18.57,rain
2020.05.28,1.5,62,14.12,1027,0,0,75,clouds
2020.05.29,2.1,44,15.77,1025,0,0,53,clouds
2020.05.30,3.1,41,16.03,1020,{'1h': 0.27},0,21,rain
2020.05.31,4.1,77,15.16,1017,0,0,21,clouds
2020.06.01,4.1,37,21.34,1020,0,0,6,clear
2020.06.02,4.1,48,18.79,1016,0,0,75,clouds
2020.06.03,3.6,56,20.68,1005,0,0,20,clouds
2020.06.04,2.6,46,22.45,996,0,0,75,clouds
2020.06.05,5.7,76,14.81,998,0,0,75,clouds
2020.06.06,5.7,63,18.93,1006,{'1h': 0.44},0,99,rain
2020.06.07,1.5,82,20.0,1007,0,0,75,clouds
2020.06.08,1,72,15.95,1014,0,0,90,clouds
2020.06.09,2.6,49,20.14,1013,0,0,73,clouds
2020.06.10,3.1,82,17.25,1011,0,0,90,rain
2020.06.11,1,64,21.5,1009,0,0,75,clouds
2020.06.12,3.1,54,26.07,1009,0,0,75,clouds
