time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:09,0.89,80,10.27,1015,0,0,0,clear
00:47,1.03,83,9.7,1015,0,0,0,clear
01:31,1.03,83,9.65,1015,0,0,0,clear
02:43,0.51,85,10.27,1015,0,0,0,clear
03:30,0.51,92,9.81,1015,0,0,0,clear
03:51,1.03,92,9.16,1015,0,0,0,clear
04:10,1.03,92,9.08,1015,0,0,0,clear
04:42,1.54,90,9.65,1015,0,0,0,clear
05:05,1.54,88,10.08,1015,0,0,0,clear
05:35,0,85,11.36,1015,0,0,75,clouds
06:03,0.89,86,11.87,1015,0,0,75,clouds
06:38,1.03,84,12.65,1015,0.1,0,75,rain
07:03,1.34,84,12.87,1015,0.35,0,75,rain
07:34,1.54,85,14.0,1015,0.42,0,100,rain
08:03,1.54,84,13.84,1016,0.29,0,100,rain
08:37,0.51,79,15.13,1016,0.24,0,76,rain
09:03,0.51,83,14.83,1016,0.26,0,76,rain
09:34,1.03,84,15.83,1016,0.27,0,100,rain
10:03,1.03,75,16.68,1016,0.12,0,0,rain
10:37,2.24,69,18.13,1016,0,0,0,clear
11:03,2.68,63,18.61,1015,0,0,0,clear
11:33,2.57,62,19.02,1015,0,0,75,clouds
12:03,2.68,62,19.15,1015,0,0,75,clouds
12:45,2.24,46,19.26,1015,0,0,0,clear
13:15,2.57,43,19.65,1015,0,0,0,clear
13:44,3.13,43,19.45,1014,0,0,0,clear
14:03,3.09,42,19.58,1014,0,0,0,clear
14:33,2.68,40,19.99,1014,0,0,0,clear
15:03,3.13,40,19.9,1014,0,0,0,clear
15:36,3.09,37,19.28,1014,0,0,0,clear
16:04,2.06,37,19.37,1014,0,0,0,clear
16:42,2.06,34,19.77,1014,0,0,0,clear
17:09,2.06,37,18.79,1014,0,0,0,clear
17:39,2.06,37,18.73,1014,0,0,0,clear
18:03,3.09,42,18.89,1014,0,0,0,clear
