time, windspeed, humidity, temperature, status 
00:14,0.5,93,5.57,clear
00:36,0.68,93,5.08,clear
01:05,0.68,100,4.71,clouds
01:32,1,93,6.06,clear
02:05,0.45,93,4.23,clear
02:32,0.5,93,3.9,clear
03:05,0.5,93,4.09,clear
03:32,0.5,93,4.42,clear
04:05,0.66,100,3.33,clear
04:32,0.95,100,4.19,clear
05:05,0.5,93,5.84,clear
05:32,0.96,87,7.31,clear
06:06,0.59,87,8.98,clear
06:32,0.5,87,10.08,clear
07:05,1,81,11.17,clear
07:32,1,76,13.29,clear
08:06,1,71,15.4,clear
08:32,1.5,62,16.92,clear
09:05,1.5,48,17.12,clouds
09:32,1.5,45,17.46,clouds
10:05,1.5,45,17.73,clouds
10:32,1,42,18.47,clouds
11:05,1.5,45,18.13,clouds
11:32,2.6,42,18.0,clouds
12:07,1.5,39,19.73,clouds
12:32,1,42,19.82,clouds
13:05,1.5,39,19.2,clouds
13:32,2.1,37,19.89,clouds
14:05,1.5,34,20.0,clouds
14:32,2.6,32,20.0,clouds
15:05,2.1,32,20.0,clouds
15:32,2.6,32,20.0,clouds
16:05,2.1,32,20.3,clouds
16:32,1,32,20.0,1030,0,0,81,clouds
