time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:13,0.89,86,6.07,1026,0,0,100,clouds
00:47,2.06,88,4.9,1025,0,0,100,clouds
01:30,1.54,88,4.6,1025,0,0,75,clouds
02:28,1.79,87,5.09,1025,0,0,100,clouds
02:51,2.68,86,5.07,1024,0,0,100,clouds
03:11,2.68,85,5.45,1024,0,0,100,clouds
03:38,1.79,88,5.0,1024,0,0,75,clouds
04:03,1.79,88,5.35,1024,0,0,75,clouds
04:36,0.89,85,5.59,1024,0,0,94,clouds
05:03,2.24,88,5.59,1024,0,0,94,clouds
05:34,2.57,87,5.88,1024,0,0,100,clouds
06:04,2.24,81,6.42,1024,0,0,88,clouds
06:38,3.09,83,7.07,1023,0,0,75,clouds
07:03,0.89,89,7.63,1023,0,0,100,clouds
07:32,4.63,87,7.83,1023,0,0,100,clouds
08:04,4.63,85,8.55,1023,0,0,100,clouds
08:37,3.09,81,9.73,1022,0,0,100,clouds
09:03,3.13,83,10.65,1022,0.11,0,90,rain
09:34,4.63,79,11.02,1022,0.37,0,75,rain
10:03,2.24,75,11.72,1022,0,0,93,clouds
10:36,4.63,70,12.27,1021,0,0,75,clouds
11:02,2.24,69,12.99,1021,0,0,94,clouds
11:32,4.63,69,12.56,1021,0,0,75,clouds
12:05,4.63,75,11.94,1020,0.75,0,75,rain
12:44,5.14,79,11.44,1020,2.82,0,100,rain
13:08,2.24,83,11.28,1020,0,0,100,clouds
13:36,3.09,82,10.97,1020,0.2,0,100,rain
14:03,3.09,84,10.69,1020,0,0,100,clouds
14:35,1.54,86,10.71,1019,0,0,100,clouds
15:03,1.54,86,10.85,1019,0,0,100,clouds
15:34,1.03,87,10.67,1019,0,0,100,clouds
16:03,1.03,85,10.71,1019,0,0,100,clouds
16:37,0.51,88,10.79,1019,0,0,100,clouds
17:03,0.89,88,10.55,1019,0,0,100,clouds
17:33,1.03,89,10.47,1019,0.28,0,100,rain
18:04,1.03,90,10.16,1019,0.38,0,100,rain
18:37,1.03,92,9.68,1019,0,0,75,clouds
19:02,1.03,92,9.37,1019,0,0,75,clouds
