time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,3.6,81,10.24,clouds
2020.05.26,3.6,54,15.79,clouds
2020.05.27,2.1,39,18.64,clouds
2020.05.28,6.7,54,14.23,1027,{'1h': 0.25},0,75,rain
2020.05.29,4.1,29,16.97,1026,0,0,36,clouds
2020.05.30,4.1,38,15.94,1021,0,0,25,clouds
2020.05.31,2.6,67,16.51,1018,0,0,1,clear
2020.06.01,3.1,40,21.26,1020,0,0,14,clouds
2020.06.02,5.1,45,20.61,1017,{'1h': 0.13},0,15,rain
2020.06.03,3.6,46,23.0,1005,0,0,100,clouds
2020.06.04,4.6,52,20.49,997,{'1h': 0.25},0,90,rain
2020.06.05,6.7,63,17.28,998,0,0,75,clouds
2020.06.06,2.1,77,16.13,1005,0,0,100,clouds
2020.06.07,3.1,68,17.27,1007,0,0,75,clouds
2020.06.08,2.6,63,16.86,1013,0,0,75,clouds
2020.06.09,5.1,52,18.91,1014,0,0,75,clouds
2020.06.10,2.6,77,14.47,1011,{'1h': 0.51},0,90,rain
2020.06.11,2.1,59,18.97,1010,0,0,75,clouds
2020.06.12,3.6,53,24.24,1010,0,0,40,clouds
2020.06.13,3.1,57,27.4,1010,0,0,40,clouds
2020.06.14,1,93,19.49,1011,0,0,75,thunderstorm
2020.06.15,3.1,46,22.27,1013,0,0,82,clouds
2020.06.16,1.5,46,23.25,1014,0,0,75,clouds
2020.06.17,3.6,56,22.36,1011,0,0,75,clouds
2020.06.18,8.2,77,18.95,1009,0,0,75,clouds
2020.06.19,2.6,87,18.28,1014,0,0,90,rain
2020.06.20,6.2,87,14.55,1017,{'1h': 1.27},0,100,rain
2020.06.21,3.1,67,17.3,1018,0,0,90,clouds
2020.06.22,5.7,41,24.17,1021,0,0,40,clouds
2020.06.23,4.6,43,22.27,1024,0,0,10,clear
2020.06.24,4.1,77,17.29,1024,0,0,75,clouds
2020.06.25,4.6,49,21.99,1021,0,0,75,clouds
2020.06.26,4.1,72,21.29,1016,0,0,75,clouds
2020.06.27,5.1,54,27.86,1013,0,0,20,clouds
2020.06.28,6.2,48,28.28,1014,0,0,75,clouds
2020.06.29,4.1,77,18.25,1013,0,0,75,clouds
2020.06.30,6.7,40,22.75,1012,0,0,9,clear
2020.07.01,4.6,50,27.53,1010,0,0,0,clear
2020.07.02,1.5,93,19.3,1012,0,0,75,clouds
2020.07.03,5.1,46,21.66,1017,0,0,40,clouds
2020.07.04,4.1,40,24.5,1018,0,0,56,clouds
2020.07.05,7.7,50,26.0,1014,0,0,62,clouds
2020.07.06,4.6,64,21.65,1011,0,0,75,clouds
2020.07.07,2.6,48,18.08,1020,0,0,75,clouds
2020.07.08,1.5,63,15.09,1017,{'1h': 0.51},0,90,rain
2020.07.09,4.6,72,20.7,1016,0,0,90,clouds
2020.07.10,9.3,33,31.27,1009,0,0,32,clouds
2020.07.11,3.6,67,16.06,1022,{'1h': 0.25},0,75,rain
2020.07.12,1,42,19.93,1026,0,0,5,clear
2020.07.13,1.5,37,21.2,1024,0,0,2,clear
2020.07.14,3.1,37,23.29,1016,0,0,1,clear
2020.07.15,4.1,49,22.31,1012,0,0,99,clouds
2020.07.16,1.5,59,18.96,1015,0,0,75,clouds
2020.07.17,2.6,55,19.34,1018,0,0,75,clouds
2020.07.18,2.1,60,21.62,1018,{'1h': 0.16},0,55,rain
2020.07.19,2.6,44,27.03,1016,0,0,40,clouds
2020.07.20,4.1,53,26.66,1015,0,0,75,thunderstorm
2020.07.21,2.1,49,22.89,1020,0,0,75,clouds
2020.07.22,1,37,22.94,1021,0,0,7,clear
2020.07.23,1.5,40,23.9,1016,0,0,54,clouds
