time, windspeed, humidity, temperature, status 
00:14,1.5,75,8.23,clear
00:36,2.1,81,8.1,clear
01:05,1.5,87,7.46,clear
01:32,1.5,87,7.45,clear
02:05,2.1,93,6.94,clear
02:32,2.1,87,6.74,clear
03:05,2.1,93,6.33,clear
03:32,1.5,93,7.25,clear
04:05,2.1,100,7.01,clear
04:32,1.5,93,7.72,clear
05:05,1.5,93,8.54,clouds
05:32,2.1,87,9.95,clouds
06:06,1.5,87,11.4,clouds
06:32,2.1,81,12.64,clear
07:05,1,71,13.31,clouds
07:32,1,62,14.92,clear
08:06,1,58,16.15,clear
08:32,3.1,55,16.73,clouds
09:05,2.6,45,17.18,clouds
09:32,2.6,42,17.45,clouds
10:05,2.6,42,17.57,clear
10:32,2.6,42,17.88,clear
11:05,3.1,39,18.43,clouds
11:32,2.6,39,18.94,clouds
12:07,2.1,39,18.64,clouds
