time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:17,5.14,95,13.01,1013,0,0,0,clear
00:47,5.14,94,12.92,1013,0,0,0,clear
01:31,4.12,93,12.82,1013,0,0,0,clear
02:38,3.09,93,12.48,1013,0,0,0,clear
03:29,3.09,93,12.33,1012,0,0,0,clear
03:51,2.57,94,12.46,1012,0,0,0,clear
04:10,3.09,93,12.69,1012,0,0,0,clear
04:40,3.09,92,12.9,1013,0.15,0,0,rain
05:03,3.09,91,13.11,1012,0,0,0,clear
05:36,4.63,91,13.42,1012,0,0,0,clear
06:04,4.63,90,13.81,1012,0,0,0,clear
06:39,3.6,89,13.98,1012,0,0,0,clear
07:03,3.6,90,14.18,1012,0.15,0,0,rain
