time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status
2020.05.25,1.89,96,9.07,clouds
2020.05.26,2.24,63,15.55,rain
2020.05.27,2.68,49,19.62,clouds
2020.05.28,1.34,63,14.09,1027,{'1h': 0.32},0,67,rain
2020.05.29,0.89,56,16.47,1028,0,0,27,clouds
2020.05.30,4.99,57,14.99,1022,0,0,38,clouds
2020.05.31,0.45,70,16.67,1018,0,0,8,clear
2020.06.01,3.6,40,19.66,1021,0,0,45,clouds
2020.06.02,4.11,59,21.1,1017,0,0,13,clouds
2020.06.03,3.16,66,22.4,1006,0,0,97,clouds
2020.06.04,2.28,71,19.26,997,{'1h': 1.19},0,100,rain
2020.06.05,1.34,81,15.36,998,{'1h': 0.22},0,100,rain
2020.06.06,1.79,95,11.47,1006,0,0,100,clouds
