time, windspeed, humidity, temperature, status 
07:33,0.89,87,10.75,clouds
08:05,4.1,88,11.87,clouds
08:32,0.45,92,12.38,clouds
09:05,0.45,79,12.6,clouds
09:32,3.1,67,12.69,clouds
10:05,2.24,75,13.88,clouds
10:32,3.6,55,14.47,clouds
11:05,1.79,62,15.56,rain
11:32,0.45,68,15.36,rain
12:06,2.24,63,15.55,rain
12:32,1.79,65,15.69,clouds
13:05,5.27,68,15.93,clouds
13:32,2.68,56,16.84,clear
14:05,4.02,48,17.23,clear
14:32,0.45,61,16.84,clear
15:05,2.68,51,17.79,clear
15:32,0.89,60,17.39,clear
16:05,0.89,61,17.58,clear
16:32,0.45,65,16.66,clear
17:05,3.21,51,16.87,clear
17:32,2.45,66,16.45,clear
18:05,2.45,72,15.0,clear
18:32,2.19,73,14.04,clear
19:05,2.19,40,13.15,clear
19:32,2.13,83,11.08,clear
20:06,2.13,84,10.18,clear
20:32,1.79,83,9.97,clear
