time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:12,1.83,93,9.68,1012,0,0,100,clouds
00:47,1.97,99,7.69,1012,0.25,0,100,rain
01:32,2.11,99,7.69,1012,0.26,0,100,rain
02:04,2.11,99,7.69,1012,0,0,100,clouds
02:46,2.2,99,7.69,1012,0,0,100,clouds
03:07,2.2,91,9.21,1012,0,0,100,clouds
03:36,2.21,91,8.24,1013,0,0,100,clouds
04:03,2.21,91,8.24,1013,0,0,100,clouds
04:36,1.98,99,7.69,1013,0,0,99,clouds
05:03,1.98,99,7.69,1013,0,0,99,clouds
05:34,2.08,99,7.69,1014,0,0,95,clouds
06:04,1.68,99,7.69,1013,0,0,99,clouds
06:37,2.4,99,7.69,1014,0,0,99,clouds
