time, windspeed, humidity, temperature, status 
00:14,1.91,89,8.89,clear
00:36,0.45,90,8.89,clear
01:05,1.96,90,8.89,clear
01:32,0.45,90,8.33,clear
02:05,1.97,91,8.33,clear
02:32,0.45,91,7.78,clouds
03:05,0.45,91,7.78,clouds
03:32,0.45,91,7.78,clouds
04:05,1.87,91,7.78,clouds
04:32,2.07,91,9.02,clouds
05:05,0.45,91,9.19,clouds
05:32,2.66,91,9.62,clouds
06:06,0.45,91,10.84,clouds
06:32,0.89,90,11.29,clouds
07:05,1.79,84,12.43,clouds
07:32,1.34,78,13.29,clouds
08:06,0.89,70,14.57,clouds
08:32,1.34,69,15.35,clouds
09:05,1.34,63,17.14,clouds
09:32,1.34,59,17.8,clouds
10:05,5.1,67,17.62,clouds
10:32,5.1,59,17.58,clouds
