time, windspeed, humidity, temperature, pressure, rain, snow, clouds, status 
00:28,0.98,80,10.91,1007,0.18,0,99,rain
01:41,1.45,79,10.92,1006,0,0,100,clouds
02:36,0.45,72,11.24,1002,0,0,100,clouds
03:15,1.3,73,10.69,1002,0,0,100,clouds
03:48,1.86,82,10.85,1005,0,0,100,clouds
04:12,1.86,72,10.66,1002,0,0,100,clouds
04:49,0.89,74,10.79,1002,0,0,96,clouds
05:13,1.52,71,11.75,1002,0,0,96,clouds
05:41,2.26,63,13.46,1002,0,0,94,clouds
06:12,1.54,55,14.0,1004,0,0,0,clear
06:52,1.54,55,14.26,1004,0,0,0,clear
07:14,1.54,55,14.44,1004,0,0,0,clear
07:40,3.09,48,15.5,1003,0,0,0,clear
08:11,3.09,48,15.5,1003,0,0,0,clear
